epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,485.042,0.2557,0.23234,0.78571,0.99742,1,0.995,0.98783,0.15461,0.12544,0.82173,0.000748036,0.000748036,0.000748036
68,491.425,0.23764,0.21444,0.79175,0.99775,1,0.995,0.98705,0.20762,0.16259,0.82724,0.000742537,0.000742537,0.000742537
69,499.004,0.2416,0.2246,0.78447,0.99698,1,0.995,0.97945,0.20068,0.15151,0.82755,0.000737037,0.000737037,0.000737037
70,505.73,0.24967,0.22373,0.78382,0.98864,0.99559,0.995,0.98848,0.18725,0.17674,0.8275,0.000731538,0.000731538,0.000731538
71,513.223,0.25373,0.22831,0.78114,0.99404,1,0.995,0.98538,0.20916,0.19395,0.82721,0.000726038,0.000726038,0.000726038
72,520.234,0.26439,0.22853,0.78333,0.99472,0.99906,0.995,0.98555,0.1726,0.21435,0.82559,0.000720539,0.000720539,0.000720539
73,527.196,0.25077,0.22496,0.78543,0.98995,0.99875,0.995,0.98802,0.19599,0.20431,0.82657,0.00071504,0.00071504,0.00071504
74,534.948,0.24965,0.22647,0.79028,0.99539,1,0.995,0.98992,0.18332,0.22746,0.82526,0.00070954,0.00070954,0.00070954
75,541.97,0.23243,0.21424,0.79117,0.99317,0.99877,0.995,0.99071,0.14501,0.14222,0.81966,0.000704041,0.000704041,0.000704041
76,549.456,0.24351,0.21828,0.78926,0.99613,1,0.995,0.99005,0.15285,0.14813,0.82174,0.000698541,0.000698541,0.000698541
77,555.977,0.24148,0.21647,0.7831,0.9982,1,0.995,0.98813,0.19582,0.17661,0.82536,0.000693042,0.000693042,0.000693042
78,563.53,0.23912,0.22371,0.78536,0.99402,1,0.995,0.99277,0.15005,0.1656,0.8228,0.000687542,0.000687542,0.000687542
79,570.143,0.23641,0.21834,0.77728,0.99562,1,0.995,0.99076,0.15505,0.15414,0.82217,0.000682043,0.000682043,0.000682043
80,577.756,0.24497,0.21924,0.78314,0.99705,1,0.995,0.98621,0.19446,0.17911,0.82509,0.000676543,0.000676543,0.000676543
81,584.706,0.22953,0.2128,0.7786,0.98292,1,0.99336,0.9875,0.16471,0.14641,0.82293,0.000671044,0.000671044,0.000671044
82,591.979,0.2223,0.20618,0.78596,0.99645,0.99969,0.995,0.99141,0.16905,0.14944,0.82356,0.000665545,0.000665545,0.000665545
83,599.528,0.22964,0.20864,0.78181,0.99817,1,0.995,0.99012,0.16441,0.16922,0.82301,0.000660045,0.000660045,0.000660045
84,606.116,0.24888,0.22326,0.78302,0.99685,1,0.995,0.98548,0.17375,0.14489,0.82431,0.000654546,0.000654546,0.000654546
85,613.735,0.24268,0.2127,0.7821,0.99647,1,0.995,0.99276,0.15001,0.16682,0.82376,0.000649046,0.000649046,0.000649046
86,620.252,0.22335,0.21027,0.77763,0.99592,0.99883,0.995,0.9917,0.15912,0.14564,0.82278,0.000643547,0.000643547,0.000643547
87,627.95,0.23531,0.21724,0.78628,0.99164,0.98914,0.9933,0.98574,0.17509,0.21634,0.83269,0.000638047,0.000638047,0.000638047
88,634.592,0.24027,0.2233,0.78709,0.99638,0.99687,0.995,0.9916,0.16177,0.16515,0.82609,0.000632548,0.000632548,0.000632548
89,642.143,0.24013,0.22077,0.79394,0.99528,1,0.995,0.99071,0.16307,0.15994,0.82516,0.000627048,0.000627048,0.000627048
90,648.708,0.22756,0.21365,0.78533,0.99387,1,0.995,0.98961,0.1429,0.12982,0.8193,0.000621549,0.000621549,0.000621549
91,656.487,0.22592,0.201,0.79125,0.99616,1,0.995,0.99122,0.13563,0.11666,0.81863,0.000616049,0.000616049,0.000616049
92,663.439,0.22861,0.20092,0.77957,0.99353,0.99252,0.99496,0.99189,0.17095,0.19322,0.82493,0.00061055,0.00061055,0.00061055
93,670.532,0.23032,0.19978,0.77895,0.99756,1,0.995,0.98901,0.17729,0.15049,0.82407,0.000605051,0.000605051,0.000605051
94,678.345,0.21496,0.19413,0.78333,0.99639,1,0.995,0.99311,0.16966,0.13444,0.8228,0.000599551,0.000599551,0.000599551
95,684.941,0.21684,0.19657,0.78565,0.99737,1,0.995,0.9933,0.14458,0.1496,0.81984,0.000594052,0.000594052,0.000594052
96,692.725,0.21972,0.20012,0.78605,0.99661,1,0.995,0.99009,0.17431,0.15488,0.82206,0.000588552,0.000588552,0.000588552
97,699.36,0.21115,0.19007,0.7822,0.99491,0.99924,0.995,0.99253,0.11705,0.1448,0.82066,0.000583053,0.000583053,0.000583053
98,707.072,0.21242,0.20393,0.78463,0.99678,1,0.995,0.99209,0.15174,0.14259,0.82104,0.000577553,0.000577553,0.000577553
99,713.972,0.22718,0.20363,0.78021,0.99364,1,0.995,0.9873,0.14764,0.1447,0.82532,0.000572054,0.000572054,0.000572054
100,721.658,0.21744,0.19258,0.77842,0.99707,1,0.995,0.99283,0.16249,0.17222,0.82191,0.000566554,0.000566554,0.000566554
101,728.192,0.21185,0.19268,0.7747,0.99652,1,0.995,0.99314,0.13871,0.13714,0.82062,0.000561055,0.000561055,0.000561055
102,735.764,0.21142,0.19289,0.77991,0.98972,0.9922,0.995,0.99178,0.13318,0.16683,0.82069,0.000555556,0.000555556,0.000555556
103,742.888,0.20436,0.18705,0.77984,0.99079,0.99882,0.995,0.99093,0.14821,0.13223,0.82093,0.000550056,0.000550056,0.000550056
104,749.931,0.20206,0.18718,0.77983,0.99661,1,0.995,0.9935,0.13168,0.14111,0.82155,0.000544557,0.000544557,0.000544557
105,757.838,0.20995,0.19617,0.77939,0.99356,0.9963,0.995,0.98979,0.13308,0.1851,0.81938,0.000539057,0.000539057,0.000539057
106,764.689,0.21221,0.19467,0.78939,0.99689,1,0.995,0.99096,0.12237,0.13792,0.81913,0.000533558,0.000533558,0.000533558
107,772.275,0.20138,0.18251,0.7806,0.99681,1,0.995,0.99217,0.13033,0.16814,0.82046,0.000528058,0.000528058,0.000528058
108,778.796,0.20758,0.18875,0.77996,0.99696,1,0.995,0.99364,0.14626,0.12281,0.82078,0.000522559,0.000522559,0.000522559
109,786.572,0.2014,0.18128,0.78349,0.99731,1,0.995,0.99069,0.14064,0.15359,0.82075,0.000517059,0.000517059,0.000517059
110,793.221,0.21617,0.19532,0.78403,0.99632,1,0.995,0.98779,0.19666,0.13012,0.82345,0.00051156,0.00051156,0.00051156
111,801.121,0.21573,0.19286,0.78659,0.99669,1,0.995,0.99189,0.16797,0.13495,0.81726,0.00050606,0.00050606,0.00050606
112,807.861,0.20277,0.18406,0.77963,0.99749,1,0.995,0.99411,0.14759,0.14289,0.82081,0.000500561,0.000500561,0.000500561
113,815.249,0.20198,0.18545,0.7791,0.99764,1,0.995,0.9931,0.13687,0.16242,0.8252,0.000495062,0.000495062,0.000495062
114,822.647,0.20472,0.18524,0.77576,0.99625,0.99639,0.995,0.99431,0.16638,0.17388,0.8232,0.000489562,0.000489562,0.000489562
115,829.401,0.20156,0.18081,0.78623,0.99511,1,0.995,0.99194,0.14777,0.14249,0.82034,0.000484063,0.000484063,0.000484063
116,836.937,0.20022,0.17561,0.78311,0.99758,1,0.995,0.99093,0.14938,0.10777,0.82117,0.000478563,0.000478563,0.000478563
117,843.707,0.20142,0.17818,0.78295,0.9983,1,0.995,0.9925,0.13529,0.10571,0.81923,0.000473064,0.000473064,0.000473064
118,851.181,0.20097,0.17952,0.77964,0.99786,1,0.995,0.99356,0.12414,0.11214,0.81921,0.000467564,0.000467564,0.000467564
119,857.699,0.19919,0.18007,0.78494,0.99644,1,0.995,0.99279,0.15816,0.11791,0.82231,0.000462065,0.000462065,0.000462065
120,865.324,0.19358,0.17675,0.78586,0.99705,1,0.995,0.99229,0.13407,0.12844,0.81924,0.000456565,0.000456565,0.000456565
121,871.899,0.19485,0.17808,0.77691,0.99202,1,0.995,0.99353,0.12991,0.14892,0.82114,0.000451066,0.000451066,0.000451066
122,879.463,0.19239,0.18464,0.78276,0.99611,1,0.995,0.9937,0.14409,0.13548,0.81988,0.000445567,0.000445567,0.000445567
123,886.626,0.1939,0.1828,0.78145,0.99517,1,0.995,0.99435,0.11083,0.12205,0.81833,0.000440067,0.000440067,0.000440067
124,893.91,0.19565,0.1813,0.78011,0.99734,1,0.995,0.99405,0.12983,0.14628,0.81992,0.000434568,0.000434568,0.000434568
125,901.551,0.19354,0.1738,0.77864,0.99652,0.99643,0.995,0.99328,0.1262,0.139,0.81797,0.000429068,0.000429068,0.000429068
126,908.135,0.18868,0.17733,0.77742,0.99672,1,0.995,0.99186,0.12371,0.12596,0.81971,0.000423569,0.000423569,0.000423569
127,915.756,0.18476,0.16665,0.77687,0.99591,1,0.995,0.99361,0.13771,0.12659,0.81873,0.000418069,0.000418069,0.000418069
128,922.196,0.19944,0.17718,0.78024,0.99704,1,0.995,0.99409,0.12326,0.12865,0.81901,0.00041257,0.00041257,0.00041257
129,929.714,0.20201,0.17325,0.77845,0.99719,1,0.995,0.99074,0.11982,0.14116,0.81897,0.00040707,0.00040707,0.00040707
130,936.488,0.18423,0.16113,0.78002,0.99729,1,0.995,0.99399,0.10382,0.14417,0.81842,0.000401571,0.000401571,0.000401571
131,944.188,0.18559,0.16591,0.78487,0.99781,1,0.995,0.99177,0.1122,0.11628,0.82003,0.000396071,0.000396071,0.000396071
