epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,438.498,0.34613,0.34506,0.79762,0.99743,1,0.995,0.98061,0.2564,0.2798,0.84832,0.000872691,0.000872691,0.000872691
67,445.841,0.30925,0.32689,0.79912,0.99619,0.99844,0.995,0.96291,0.28476,0.29387,0.85771,0.000869024,0.000869024,0.000869024
68,451.797,0.35013,0.34084,0.80819,0.99384,0.99506,0.99496,0.97658,0.28175,0.35232,0.85227,0.000865358,0.000865358,0.000865358
69,458.981,0.33771,0.33859,0.79242,0.98992,1,0.995,0.9667,0.28116,0.27038,0.84843,0.000861692,0.000861692,0.000861692
70,465.024,0.3325,0.33943,0.80547,0.99247,0.99867,0.995,0.96994,0.29427,0.26927,0.85734,0.000858025,0.000858025,0.000858025
71,471.587,0.34825,0.34531,0.80775,0.97119,0.99117,0.995,0.96957,0.27798,0.33226,0.85928,0.000854359,0.000854359,0.000854359
72,477.983,0.34376,0.3412,0.79475,0.9958,1,0.995,0.96673,0.29357,0.296,0.8502,0.000850693,0.000850693,0.000850693
73,484.088,0.3457,0.34334,0.79945,0.99353,0.99472,0.995,0.9602,0.33505,0.30151,0.87022,0.000847026,0.000847026,0.000847026
74,491.236,0.33084,0.33049,0.8051,0.99387,1,0.995,0.97715,0.26499,0.26535,0.84786,0.00084336,0.00084336,0.00084336
75,497.22,0.31506,0.32399,0.79241,0.99712,1,0.995,0.95644,0.33146,0.2889,0.85663,0.000839694,0.000839694,0.000839694
76,504.405,0.28539,0.30657,0.78976,0.99373,1,0.995,0.9801,0.24125,0.23898,0.84461,0.000836027,0.000836027,0.000836027
77,510.557,0.30412,0.35219,0.79537,0.99646,1,0.995,0.9734,0.33081,0.28737,0.85906,0.000832361,0.000832361,0.000832361
78,517.921,0.31896,0.31714,0.79317,0.99598,0.99995,0.995,0.96795,0.29956,0.28465,0.85285,0.000828695,0.000828695,0.000828695
79,523.958,0.31169,0.31853,0.8013,0.99703,1,0.995,0.96693,0.3068,0.262,0.85504,0.000825029,0.000825029,0.000825029
80,531.26,0.31592,0.3201,0.8023,0.99509,0.99608,0.99496,0.97948,0.26359,0.25457,0.84215,0.000821362,0.000821362,0.000821362
81,537.516,0.31793,0.32553,0.79364,0.98985,0.99257,0.995,0.98206,0.23344,0.25849,0.83969,0.000817696,0.000817696,0.000817696
82,544.393,0.31317,0.32015,0.8063,0.99634,0.99863,0.995,0.96953,0.29526,0.28726,0.85363,0.00081403,0.00081403,0.00081403
83,550.71,0.30248,0.3056,0.78821,0.98072,0.99238,0.995,0.98232,0.24617,0.28233,0.83546,0.000810363,0.000810363,0.000810363
84,556.934,0.31497,0.31144,0.80072,0.99262,0.99645,0.995,0.96389,0.34118,0.25529,0.85412,0.000806697,0.000806697,0.000806697
85,563.577,0.30778,0.3065,0.80058,0.98895,0.99899,0.995,0.97503,0.25316,0.27508,0.84446,0.000803031,0.000803031,0.000803031
86,569.86,0.31692,0.3043,0.79031,0.99567,1,0.995,0.97701,0.27552,0.26013,0.84597,0.000799365,0.000799365,0.000799365
87,577.022,0.32112,0.31003,0.80313,0.99728,1,0.995,0.97232,0.29501,0.25285,0.84689,0.000795698,0.000795698,0.000795698
88,583.243,0.33727,0.33313,0.8015,0.98429,0.99685,0.995,0.98136,0.26523,0.25132,0.84385,0.000792032,0.000792032,0.000792032
89,590.665,0.33218,0.31616,0.78116,0.99391,0.99719,0.995,0.97948,0.23788,0.22676,0.84248,0.000788366,0.000788366,0.000788366
90,596.825,0.34028,0.32185,0.7935,0.97898,0.99832,0.995,0.95629,0.32074,0.30812,0.85061,0.000784699,0.000784699,0.000784699
91,604.366,0.35565,0.32917,0.79767,0.98234,0.9985,0.995,0.97491,0.24684,0.25429,0.84188,0.000781033,0.000781033,0.000781033
92,610.582,0.32001,0.29801,0.79932,0.99445,1,0.995,0.98012,0.25432,0.27697,0.83932,0.000777367,0.000777367,0.000777367
93,617.625,0.31388,0.29765,0.80584,0.98677,0.99978,0.995,0.98381,0.21943,0.27666,0.83872,0.0007737,0.0007737,0.0007737
94,623.93,0.29956,0.29302,0.79086,0.99459,1,0.995,0.97996,0.23675,0.24958,0.84254,0.000770034,0.000770034,0.000770034
95,630.207,0.30007,0.28949,0.78592,0.993,1,0.995,0.97665,0.24271,0.23078,0.84431,0.000766368,0.000766368,0.000766368
96,637.113,0.30726,0.29259,0.79258,0.98525,1,0.995,0.97794,0.22878,0.23501,0.84477,0.000762702,0.000762702,0.000762702
97,643.133,0.29434,0.28839,0.7922,0.99431,1,0.995,0.98675,0.25303,0.22309,0.84336,0.000759035,0.000759035,0.000759035
98,650.19,0.29649,0.28287,0.79056,0.99162,0.99936,0.995,0.98407,0.23484,0.21203,0.83978,0.000755369,0.000755369,0.000755369
99,656.438,0.28835,0.274,0.78492,0.99087,0.9963,0.995,0.97913,0.28055,0.23552,0.83878,0.000751703,0.000751703,0.000751703
100,663.882,0.29867,0.28791,0.79573,0.99366,1,0.995,0.97654,0.27146,0.2301,0.85022,0.000748036,0.000748036,0.000748036
101,669.914,0.30221,0.28468,0.78921,0.99528,1,0.995,0.98251,0.22138,0.21661,0.8452,0.00074437,0.00074437,0.00074437
102,677.328,0.28843,0.27787,0.79748,0.9923,1,0.995,0.98166,0.2779,0.22627,0.84592,0.000740704,0.000740704,0.000740704
103,683.588,0.30509,0.28246,0.79224,0.99168,0.99925,0.995,0.96419,0.28109,0.20572,0.84957,0.000737037,0.000737037,0.000737037
104,690.575,0.29437,0.27677,0.79201,0.9923,0.9989,0.995,0.97541,0.26091,0.22395,0.84711,0.000733371,0.000733371,0.000733371
105,697.221,0.28445,0.26863,0.79829,0.99315,0.99656,0.995,0.95706,0.3107,0.24544,0.85061,0.000729705,0.000729705,0.000729705
106,703.821,0.27902,0.27364,0.78944,0.99568,0.99711,0.995,0.98168,0.2252,0.21743,0.83921,0.000726038,0.000726038,0.000726038
107,710.497,0.29014,0.27857,0.79541,0.9896,0.993,0.995,0.97788,0.25433,0.21948,0.84068,0.000722372,0.000722372,0.000722372
108,716.525,0.27503,0.26636,0.79335,0.98986,0.99663,0.995,0.98762,0.20702,0.21209,0.83685,0.000718706,0.000718706,0.000718706
109,723.597,0.25292,0.26513,0.79007,0.99547,0.99928,0.995,0.9889,0.22791,0.22961,0.83748,0.00071504,0.00071504,0.00071504
110,729.803,0.28417,0.26936,0.78551,0.99675,1,0.995,0.98584,0.19899,0.2016,0.83804,0.000711373,0.000711373,0.000711373
111,737.185,0.2565,0.2592,0.79208,0.99262,1,0.995,0.98433,0.22619,0.22119,0.83798,0.000707707,0.000707707,0.000707707
112,743.306,0.26776,0.26957,0.7827,0.99425,1,0.995,0.98087,0.23908,0.22012,0.84082,0.000704041,0.000704041,0.000704041
113,750.85,0.27772,0.26266,0.77287,0.99713,0.99034,0.99453,0.98479,0.21309,0.21753,0.83754,0.000700374,0.000700374,0.000700374
114,757.095,0.27297,0.2607,0.79909,0.99447,0.9923,0.995,0.99269,0.22955,0.22828,0.83942,0.000696708,0.000696708,0.000696708
115,764.459,0.27002,0.25545,0.7841,0.99602,0.99694,0.995,0.98632,0.18852,0.2018,0.83596,0.000693042,0.000693042,0.000693042
116,770.87,0.27879,0.2698,0.79913,0.99618,1,0.995,0.97288,0.27894,0.2186,0.84578,0.000689376,0.000689376,0.000689376
117,777.71,0.29716,0.27763,0.79832,0.99451,1,0.995,0.98909,0.20049,0.2016,0.83756,0.000685709,0.000685709,0.000685709
118,784.282,0.2794,0.2671,0.80695,0.996,1,0.995,0.97508,0.26691,0.21914,0.84366,0.000682043,0.000682043,0.000682043
119,790.632,0.31153,0.28057,0.79408,0.9953,0.99712,0.995,0.98526,0.21927,0.22317,0.84041,0.000678377,0.000678377,0.000678377
120,797.497,0.25973,0.25665,0.78636,0.99613,0.99866,0.995,0.98545,0.217,0.2399,0.84104,0.00067471,0.00067471,0.00067471
121,803.708,0.28078,0.26255,0.78803,0.995,1,0.995,0.99021,0.21961,0.21095,0.84051,0.000671044,0.000671044,0.000671044
122,810.616,0.26312,0.25565,0.79455,0.9933,1,0.995,0.99,0.23299,0.23304,0.83609,0.000667378,0.000667378,0.000667378
123,816.979,0.24797,0.24384,0.78714,0.99268,0.9988,0.995,0.98432,0.204,0.2052,0.83602,0.000663711,0.000663711,0.000663711
124,824.193,0.252,0.25226,0.77867,0.99592,1,0.995,0.99197,0.17997,0.18825,0.83461,0.000660045,0.000660045,0.000660045
125,830.39,0.26972,0.25536,0.79099,0.99568,1,0.995,0.98821,0.20369,0.19605,0.83657,0.000656379,0.000656379,0.000656379
126,837.986,0.25804,0.23929,0.7938,0.99333,0.9998,0.995,0.9842,0.19082,0.19026,0.83378,0.000652712,0.000652712,0.000652712
127,844.066,0.25331,0.24288,0.78845,0.99357,0.99729,0.995,0.9873,0.1922,0.20552,0.83609,0.000649046,0.000649046,0.000649046
128,851.286,0.26118,0.24505,0.77948,0.9831,1,0.995,0.98625,0.18204,0.19587,0.83387,0.00064538,0.00064538,0.00064538
129,857.551,0.26408,0.24641,0.78122,0.99072,0.99262,0.995,0.98824,0.19718,0.20553,0.83513,0.000641714,0.000641714,0.000641714
130,864.445,0.26671,0.24756,0.78691,0.99205,1,0.995,0.98939,0.18716,0.1996,0.83574,0.000638047,0.000638047,0.000638047
131,870.88,0.2881,0.25546,0.79308,0.99438,0.9927,0.995,0.97888,0.23095,0.22781,0.83835,0.000634381,0.000634381,0.000634381
132,877.281,0.25837,0.24978,0.781,0.99445,0.99898,0.995,0.98775,0.20372,0.19742,0.83418,0.000630715,0.000630715,0.000630715
133,884.035,0.26841,0.24432,0.78098,0.99725,1,0.995,0.97951,0.29182,0.23755,0.84552,0.000627048,0.000627048,0.000627048
134,890.073,0.2796,0.26119,0.80175,0.99796,1,0.995,0.98573,0.22062,0.2145,0.84119,0.000623382,0.000623382,0.000623382
135,897.132,0.25026,0.24896,0.77919,0.99646,1,0.995,0.98696,0.20088,0.22948,0.8395,0.000619716,0.000619716,0.000619716
136,903.417,0.24814,0.25124,0.77467,0.99196,1,0.995,0.98137,0.24305,0.2106,0.83767,0.000616049,0.000616049,0.000616049
137,910.666,0.24431,0.25362,0.78825,0.99469,1,0.995,0.98633,0.18409,0.17116,0.83565,0.000612383,0.000612383,0.000612383
138,916.84,0.26721,0.25215,0.78387,0.99278,1,0.995,0.97944,0.18817,0.19646,0.83828,0.000608717,0.000608717,0.000608717
139,924.274,0.24236,0.23919,0.78918,0.9958,0.99681,0.995,0.98849,0.19311,0.1674,0.83576,0.000605051,0.000605051,0.000605051
140,930.409,0.24116,0.23977,0.78172,0.99664,1,0.995,0.98709,0.18117,0.15627,0.83619,0.000601384,0.000601384,0.000601384
141,937.77,0.24363,0.23882,0.77872,0.99695,1,0.995,0.98293,0.20511,0.17529,0.83997,0.000597718,0.000597718,0.000597718
